"ticker";"gics_sector_name";"description";"adjHolding";"adjMarketValue";"weightClose";"date"
EGIE3 BS Equity;Utilities;Engie Brasil Energia SA;1,505,317.0000000000000000;12,806,424.1600000000000000;0.5126780685831110;"2023-08-31"
TIMS3 BS Equity;Communication Services;TIM SA/Brazil;4,768,234.0000000000000000;13,878,183.4700000000000000;0.5555836826852110;"2023-08-31"
SANB11 BS Equity;Financials;Banco Santander Brasil SA;2,097,518.0000000000000000;11,485,421.2600000000000000;0.4597945152271300;"2023-08-31"
BRFS3 BS Equity;Consumer Staples;BRF SA;9,918,814.0000000000000000;18,110,861.6700000000000000;0.7250299900539530;"2023-08-31"
GOAU4 BS Equity;Materials;Metalurgica Gerdau SA;3,933,527.0000000000000000;9,390,981.0300000000000000;0.3759480364237000;"2023-08-31"
MGLU3 BS Equity;Consumer Discretionary;Magazine Luiza SA;16,943,737.0000000000000000;9,445,625.0700000000000000;0.3781355948347580;"2023-08-31"
TAEE11 BS Equity;Utilities;Transmissora Alianca de Energi;1,288,327.0000000000000000;8,899,466.6000000000000000;0.3562712971946340;"2023-08-31"
RRRP3 BS Equity;Energy;"3R PETROLEUM OLEO E GAS SA";1,383,546.0000000000000000;9,199,515.5700000000000000;0.3682831222363530;"2023-08-31"
CSNA3 BS Equity;Materials;Cia Siderurgica Nacional SA;3,475,446.0000000000000000;8,500,940.9200000000000000;0.3403171656314040;"2023-08-31"
MULT3 BS Equity;Real Estate;Multiplan Empreendimentos Imob;1,572,870.0000000000000000;7,859,662.8500000000000000;0.3146449562586120;"2023-08-31"
BRKM5 BS Equity;Materials;Braskem SA;1,562,470.0000000000000000;7,018,724.6100000000000000;0.2809797748391580;"2023-08-31"
CPFE3 BS Equity;Utilities;CPFL Energia SA;1,106,019.0000000000000000;7,628,954.0800000000000000;0.3054090192686270;"2023-08-31"
FLRY3 BS Equity;Health Care;Fleury SA;2,486,813.0000000000000000;7,413,811.2600000000000000;0.2967962321198430;"2023-08-31"
CYRE3 BS Equity;Consumer Discretionary;Cyrela Brazil Realty SA Empree;1,620,133.0000000000000000;7,343,188.0200000000000000;0.2939689802790540;"2023-08-31"
COGN3 BS Equity;Consumer Discretionary;Cogna Educacao SA;10,693,465.0000000000000000;6,306,898.7200000000000000;0.2524833329055450;"2023-08-31"
