"date";"ticker";"field";"override";"override_period";"value";"extraction_date"
"2000-11-23";IBOV Index;CUR_MKT_CAP;;;168,395.39;"2023-08-21"
"2000-11-24";IBOV Index;CUR_MKT_CAP;;;167,496.05;"2023-08-21"
"2000-11-27";IBOV Index;CUR_MKT_CAP;;;164,164.62;"2023-08-21"
"2000-11-28";IBOV Index;CUR_MKT_CAP;;;163,964.02;"2023-08-21"
"2000-11-29";IBOV Index;CUR_MKT_CAP;;;162,429.53;"2023-08-21"
"2000-11-30";IBOV Index;CUR_MKT_CAP;;;158,533.72;"2023-08-21"
"2000-12-01";IBOV Index;CUR_MKT_CAP;;;158,408.49;"2023-08-21"
"2000-12-04";IBOV Index;CUR_MKT_CAP;;;158,993.65;"2023-08-21"
"2000-12-05";IBOV Index;CUR_MKT_CAP;;;164,948.28;"2023-08-21"
"2000-12-06";IBOV Index;CUR_MKT_CAP;;;160,836.61;"2023-08-21"
"2000-12-07";IBOV Index;CUR_MKT_CAP;;;164,867.11;"2023-08-21"
"2000-12-08";IBOV Index;CUR_MKT_CAP;;;167,682.12;"2023-08-21"
"2000-12-11";IBOV Index;CUR_MKT_CAP;;;168,803.53;"2023-08-21"
"2000-12-12";IBOV Index;CUR_MKT_CAP;;;167,451.88;"2023-08-21"
"2000-12-13";IBOV Index;CUR_MKT_CAP;;;171,708.08;"2023-08-21"
"2000-12-14";IBOV Index;CUR_MKT_CAP;;;172,217.93;"2023-08-21"
"2000-12-15";IBOV Index;CUR_MKT_CAP;;;170,193.51;"2023-08-21"
"2000-12-18";IBOV Index;CUR_MKT_CAP;;;171,074.46;"2023-08-21"
"2000-12-19";IBOV Index;CUR_MKT_CAP;;;171,363.13;"2023-08-21"
"2000-12-20";IBOV Index;CUR_MKT_CAP;;;167,858.88;"2023-08-21"
"2000-12-21";IBOV Index;CUR_MKT_CAP;;;164,466.05;"2023-08-21"
"2000-12-22";IBOV Index;CUR_MKT_CAP;;;165,305.95;"2023-08-21"
"2000-12-25";IBOV Index;CUR_MKT_CAP;;;165,305.95;"2023-08-21"
"2000-12-26";IBOV Index;CUR_MKT_CAP;;;164,743.73;"2023-08-21"
"2000-12-27";IBOV Index;CUR_MKT_CAP;;;167,409.1;"2023-08-21"
"2000-12-28";IBOV Index;CUR_MKT_CAP;;;169,283.19;"2023-08-21"
"2000-12-29";IBOV Index;CUR_MKT_CAP;;;169,283.19;"2023-08-21"
"2001-01-01";IBOV Index;CUR_MKT_CAP;;;169,283.19;"2023-08-21"
"2001-01-02";IBOV Index;CUR_MKT_CAP;;;54,926.02;"2023-08-21"
"2001-01-03";IBOV Index;CUR_MKT_CAP;;;69,114.33;"2023-08-21"
"2001-01-04";IBOV Index;CUR_MKT_CAP;;;69,095.92;"2023-08-21"
"2001-01-05";IBOV Index;CUR_MKT_CAP;;;68,078.09;"2023-08-21"
"2001-01-08";IBOV Index;CUR_MKT_CAP;;;71,084.27;"2023-08-21"
"2001-01-09";IBOV Index;CUR_MKT_CAP;;;72,004.39;"2023-08-21"
"2001-01-10";IBOV Index;CUR_MKT_CAP;;;71,407.61;"2023-08-21"
"2001-01-11";IBOV Index;CUR_MKT_CAP;;;71,785.75;"2023-08-21"
"2001-01-12";IBOV Index;CUR_MKT_CAP;;;71,567.9;"2023-08-21"
"2001-01-15";IBOV Index;CUR_MKT_CAP;;;71,856.91;"2023-08-21"
"2001-01-16";IBOV Index;CUR_MKT_CAP;;;70,921.79;"2023-08-21"
"2001-01-17";IBOV Index;CUR_MKT_CAP;;;72,039.79;"2023-08-21"
"2001-01-18";IBOV Index;CUR_MKT_CAP;;;73,598.94;"2023-08-21"
"2001-01-19";IBOV Index;CUR_MKT_CAP;;;73,983.52;"2023-08-21"
"2001-01-22";IBOV Index;CUR_MKT_CAP;;;73,385.04;"2023-08-21"
"2001-01-23";IBOV Index;CUR_MKT_CAP;;;74,498.01;"2023-08-21"
"2001-01-24";IBOV Index;CUR_MKT_CAP;;;74,903.18;"2023-08-21"
"2001-01-25";IBOV Index;CUR_MKT_CAP;;;74,905.27;"2023-08-21"
"2001-01-26";IBOV Index;CUR_MKT_CAP;;;76,005.48;"2023-08-21"
"2001-01-29";IBOV Index;CUR_MKT_CAP;;;76,357.76;"2023-08-21"
"2001-01-30";IBOV Index;CUR_MKT_CAP;;;75,795.25;"2023-08-21"
"2001-01-31";IBOV Index;CUR_MKT_CAP;;;76,132.72;"2023-08-21"
"2001-02-01";IBOV Index;CUR_MKT_CAP;;;74,560.07;"2023-08-21"
"2001-02-02";IBOV Index;CUR_MKT_CAP;;;73,056.31;"2023-08-21"
"2001-02-05";IBOV Index;CUR_MKT_CAP;;;72,370.11;"2023-08-21"
"2001-02-06";IBOV Index;CUR_MKT_CAP;;;73,657.59;"2023-08-21"
"2001-02-07";IBOV Index;CUR_MKT_CAP;;;72,835.39;"2023-08-21"
"2001-02-08";IBOV Index;CUR_MKT_CAP;;;73,944;"2023-08-21"
"2001-02-09";IBOV Index;CUR_MKT_CAP;;;74,087;"2023-08-21"
"2001-02-12";IBOV Index;CUR_MKT_CAP;;;72,736.89;"2023-08-21"
"2001-02-13";IBOV Index;CUR_MKT_CAP;;;72,440.4;"2023-08-21"
"2001-02-14";IBOV Index;CUR_MKT_CAP;;;78,578.63;"2023-08-21"
"2001-02-15";IBOV Index;CUR_MKT_CAP;;;77,901.23;"2023-08-21"
"2001-02-16";IBOV Index;CUR_MKT_CAP;;;75,526.07;"2023-08-21"
"2001-02-19";IBOV Index;CUR_MKT_CAP;;;75,289.29;"2023-08-21"
"2001-02-20";IBOV Index;CUR_MKT_CAP;;;76,632.81;"2023-08-21"
"2001-02-21";IBOV Index;CUR_MKT_CAP;;;75,530.26;"2023-08-21"
"2001-02-22";IBOV Index;CUR_MKT_CAP;;;76,698.86;"2023-08-21"
"2001-02-23";IBOV Index;CUR_MKT_CAP;;;77,504.35;"2023-08-21"
"2001-02-26";IBOV Index;CUR_MKT_CAP;;;77,504.35;"2023-08-21"
"2001-02-27";IBOV Index;CUR_MKT_CAP;;;77,504.35;"2023-08-21"
"2001-02-28";IBOV Index;CUR_MKT_CAP;;;75,842.75;"2023-08-21"
"2001-03-01";IBOV Index;CUR_MKT_CAP;;;78,066.09;"2023-08-21"
"2001-03-02";IBOV Index;CUR_MKT_CAP;;;79,623.23;"2023-08-21"
"2001-03-05";IBOV Index;CUR_MKT_CAP;;;79,164.18;"2023-08-21"
"2001-03-06";IBOV Index;CUR_MKT_CAP;;;78,489.93;"2023-08-21"
"2001-03-07";IBOV Index;CUR_MKT_CAP;;;79,316.93;"2023-08-21"
"2001-03-08";IBOV Index;CUR_MKT_CAP;;;77,964.61;"2023-08-21"
"2001-03-09";IBOV Index;CUR_MKT_CAP;;;77,399.37;"2023-08-21"
"2001-03-12";IBOV Index;CUR_MKT_CAP;;;80,568.43;"2023-08-21"
"2001-03-13";IBOV Index;CUR_MKT_CAP;;;80,833.21;"2023-08-21"
"2001-03-14";IBOV Index;CUR_MKT_CAP;;;79,513.34;"2023-08-21"
"2001-03-15";IBOV Index;CUR_MKT_CAP;;;79,289.28;"2023-08-21"
"2001-03-16";IBOV Index;CUR_MKT_CAP;;;79,616.84;"2023-08-21"
"2001-03-19";IBOV Index;CUR_MKT_CAP;;;77,410.83;"2023-08-21"
"2001-03-20";IBOV Index;CUR_MKT_CAP;;;88,426.13;"2023-08-21"
"2001-03-21";IBOV Index;CUR_MKT_CAP;;;88,457.05;"2023-08-21"
"2001-03-22";IBOV Index;CUR_MKT_CAP;;;85,622.93;"2023-08-21"
"2001-03-23";IBOV Index;CUR_MKT_CAP;;;88,162.95;"2023-08-21"
"2001-03-26";IBOV Index;CUR_MKT_CAP;;;143,338.95;"2023-08-21"
"2001-03-27";IBOV Index;CUR_MKT_CAP;;;145,840.59;"2023-08-21"
"2001-03-28";IBOV Index;CUR_MKT_CAP;;;147,240.29;"2023-08-21"
"2001-03-29";IBOV Index;CUR_MKT_CAP;;;144,236.08;"2023-08-21"
"2001-03-30";IBOV Index;CUR_MKT_CAP;;;145,153.92;"2023-08-21"
"2001-04-02";IBOV Index;CUR_MKT_CAP;;;142,449.89;"2023-08-21"
"2001-04-03";IBOV Index;CUR_MKT_CAP;;;141,704.91;"2023-08-21"
"2001-04-04";IBOV Index;CUR_MKT_CAP;;;143,289.64;"2023-08-21"
"2001-04-05";IBOV Index;CUR_MKT_CAP;;;149,661.34;"2023-08-21"
"2001-04-06";IBOV Index;CUR_MKT_CAP;;;151,075.16;"2023-08-21"
